School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,"213,937","35,656",
Akron,6,"104,293","17,382",
Alabama,7,"644,084","92,012",
Arizona,6,"315,330","52,555",
Arizona St.,7,"339,890","48,556",
Arkansas,7,"455,783","65,112",
Arkansas  St.,5,"88,445","17,689",
Army,6,"167,984","27,997",
Auburn,8,"676,911","84,614",
Ball St.,6,"65,327","10,888",
Baylor,6,"217,837","36,306",
Boise St.,7,"229,472","32,782",
Boston College,7,"250,009","35,716",
Bowling Green,6,"84,261","14,044",
Buffalo,6,"95,758","15,960",
BYU,6,"385,416","64,236",
California,6,"356,830","59,472",
Central Mich.,5,"98,508","19,702",
Cincinnati,6,"203,741","33,957",
Clemson,7,"530,553","75,793",
Colorado,6,"300,527","50,088",
Colorado St.,6,"141,856","23,643",
Connecticut,6,"229,376","38,229",
Duke,6,"157,881","26,314",
East Carolina,7,"292,191","41,742",
Eastern Mich.,5,"25,080","5,016",
FIU,5,"51,018","10,204",
Fla. Atlantic,5,"76,630","15,326",
Florida,7,"634,446","90,635",
Florida St.,6,"446,067","74,345",
Fresno St.,5,"167,889","33,578",
Georgia,6,"556,476","92,746",
Georgia Tech,6,"309,501","51,584",
Hawaii,7,"257,074","36,725",
Houston,6,"151,450","25,242",
Idaho,6,"75,273","12,546",
Illinois,6,"357,267","59,545",
Indiana,6,"250,997","41,833",
Iowa,7,"491,499","70,214",
Iowa St.,6,"277,453","46,242",
Kansas,6,"303,488","50,581",
Kansas St.,6,"280,579","46,763",
Kent St.,6,"93,072","15,512",
Kentucky,7,"487,156","69,594",
La.-Lafayette,6,"111,998","18,666",
La.-Monroe,5,"69,443","13,889",
Louisiana Tech,5,"100,000","20,000",
Louisville,6,"194,702","32,450",
LSU,7,"647,420","92,489",
Marshall,6,"133,415","22,236",
Maryland,7,"311,163","44,452",
Memphis,6,"154,769","25,795",
Miami (FL),6,"285,306","47,551",
Miami (OH),5,"59,052","11,810",
Michigan,8,"871,464","108,933",
Michigan St.,7,"523,186","74,741",
Middle Tenn.,6,"123,104","20,517",
Minnesota,7,"355,635","50,805",
Mississippi,7,"390,368","55,767",
Mississippi St.,7,"376,544","53,792",
Missouri,6,"384,719","64,120",
Navy,6,"190,366","31,728",
Nebraska,7,"601,216","85,888",
Nevada,6,"104,999","17,500",
New Mexico,6,"161,661","26,944",
New Mexico St.,6,"99,064","16,511",
North Carolina,7,"396,250","56,607",
North Carolina St.,8,"451,377","56,422",
North Texas,6,"109,367","18,228",
Northern Ill.,6,"89,335","14,889",
Northwestern,7,"169,332","24,190",
Notre Dame,7,"565,565","80,795",
Ohio,6,"107,682","17,947",
Ohio St.,7,"736,830","105,261",
Oklahoma,6,"508,670","84,778",
Oklahoma St.,8,"429,750","53,719",
Oregon,7,"409,806","58,544",
Oregon St.,6,"253,969","42,328",
Penn St.,8,"856,066","107,008",
Pittsburgh,7,"374,119","53,446",
Purdue,7,"353,197","50,457",
Rice,6,"81,309","13,552",
Rutgers,7,"343,788","49,113",
San Diego St.,6,"146,785","24,464",
San Jose St.,6,"92,062","15,344",
SMU,6,"128,085","21,348",
South Carolina,7,"527,580","75,369",
South Fla.,6,"315,319","52,553",
Southern California,6,"508,796","84,799",
Southern Miss.,6,"184,178","30,696",
Stanford,7,"290,049","41,436",
Syracuse,8,"312,343","39,043",
TCU,6,"229,121","38,187",
Temple,6,"104,276","17,379",
Tennessee,8,"793,760","99,220",
Texas,6,"607,049","101,175",
Texas A&M,7,"537,602","76,800",
Texas Tech,7,"351,742","50,249",
Toledo,5,"81,424","16,285",
Troy,5,"92,066","18,413",
Tulane,6,"150,884","25,147",
Tulsa,6,"135,010","22,502",
UAB,5,"89,933","17,987",
UCF,7,"266,543","38,078",
UCLA,6,"387,283","64,547",
UNLV,7,"159,423","22,775",
Utah,6,"270,929","45,155",
Utah St.,5,"79,857","15,971",
UTEP,6,"174,058","29,010",
Vanderbilt,6,"210,092","35,015",
Virginia,7,"335,902","47,986",
Virginia Tech,6,"397,398","66,233",
Wake Forest,7,"222,537","31,791",
Washington,7,"450,491","64,356",
Washington St.,6,"155,455","25,909",
West Virginia,7,"401,216","57,317",
Western Ky.,6,"84,616","14,103",
Western Mich.,5,"101,652","20,330",
Wisconsin,7,"560,764","80,109",
Wyoming,6,"116,963","19,494",
